Name;Description;Sources;Search term used
ThingsData;"""Through smart utilization, useful information can be exchanged between installations, equipment, sensors and the cloud. Many organizations are currently discovering the benefits that arise and how extensive the added value is when ‘devices’ are made accessible via IoT connectivity networks (M2M, LTE M, NB-IOT, LoRa, 4G, 5G). Thingsdata supports you in choosing the most suitable hardware, chooses the best IoT connectivity (IoT simcards), offers security options and provides valuable insights into the collected information. Thingsdata helps your organization with its Internet of Things strategy from concept to realization.""";https://thingsdata.be/;"""Data ecosystem"""
Trustbuilder;"""Our SaaS cybersecurity solutions allow companies to acquire new customers, grow revenue and reduce costs. As a European player in Identity and Access Management, we cherish data privacy and compliance with all local regulations.""";"Project with Trustbuilder
https://www.trustbuilder.com/";"""Data intermediary"""
Trusts-data.eu;"""TRUSTS – Trusted Secure Data Sharing Space – through its focus on  developing  a  platform  based  on  the  experience  of  two  large  national  projects.  This will  allow TRUSTS to integrate and adopt more easily other, future platforms. At the same time, trust will be fostered by developing and bringing closer to production privacy-aware analytics methods (multi-party computation), building on existing research projects such as Safe-DEED. The thus developed TRUSTS platform, acting on its own but also as a platform federator covering different existing organisations in different jurisdictions, will investigate the legal and ethical aspects that apply on the entire data valorisation chain, from data providers to consumers, passing potentially via multiple platform operators, each of which may have different legal obligations.""";Deliverables available on https://www.trusts-data.eu/;"""Data sharing"""
Vendia;"""A data collaboration platform that facilitates real-time, tamper-proof and harmonized data sharing between multiple parties or systems, inside or outside your four walls""";https://www.vendia.com/;"""Data ecosystem"""
Visionpol.eu;"""The VisionsTrust app allows you to manage your consents and share your skills data between organizations to help you on your professional and personal journey. Share your data with innovative applications to learn more about yourself, discover your skills, explore careers and education possibilities, and decide your future by setting your preferences.""";"SEMIC Workshop
https://visionspol.eu/";"""Data sharing"""
VSDS;"""VSDS enables private companies, public administrations and other organisations to participate in confidence in the data economy by publishing dynamic data (sourced from sensors and wearables, for instance) and more static context data in an innovative way in a data space. Using a Linked Data Event Stream (LDES) brings plenty of advantages within reach of both users and providers. More data lead to more innovation.""";"Meetings with VSDS/Athumi representatives
https://www.vlaanderen.be/digitaal-vlaanderen/onze-oplossingen/vlaamse-smart-data-space https://athumi.be/en/technologies/flemish-smart-data-space";"""Data space"""
Yellowground;"""We will bring more efficiency through the optimization of the PIM or MDM strategy and the usage of PIM or MDM tools within your company resulting in improved data quality. We focus on products, locations, customers, suppliers and assets like files, images, documents.""";https://yellowground.eu/en/;"""Data management"""
Yuso;"""Yuso maakt de uitwisseling van hernieuwbare energie tussen verschillende partijen mogelijk. We bieden een platform (My Yuso Portal) voor het management van gedecentraliseerde energie. Kies voor jouw energie niet langer voor niet-competitieve en niet-transparante prijzen van andere aanbieders. Yuso gelooft in een open markt waar er “peer to peer” energie geleverd en gebruikt wordt. Zo zorgen we samen voor de integratie van hernieuwbare energie in de bestaande markten! Yuso faciliteert deze energie-uitwisseling, en zorgt dat alle partijen op een transparante en voordelige manier de markt kunnen opvolgen.""";"Meetings
https://yuso.be/";"""Data intermediary"""
Zoho;"""Modern Self-service BI and Analytics Platform. Zoho Analytics helps business users connect, prepare and analyze their data, create stunning data visualizations, and discover hidden insights, all within minutes.""";https://www.zoho.com/analytics/;"""Data analytics"""
GraphMetrix;""" Store & Find Information Needed to Take Action. Own and control your data, have secure global collaboration with Solid, automate repetitive tasks, and save time by quickly finding actionable information. """;Solid World - https://graphmetrix.com/;"""Data collaboration"", via Solid"
Mastodon;"""Social networking that's not for sale. Your home feed should be filled with what matters to you most, not what a corporation thinks you should see. Radically different social media, back in the hands of the people.""";https://joinmastodon.org/;no specific search term, via Solid
